Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000356300,05/03/2020 02:39:34 AM,,,44,,R,REPORT,14,,,,225C,E,223N,1861,,,
PD202000356301,05/03/2020 02:39:43 AM,,,88,,PW,,11,,300,RIO VISTA DR,727C,715,715,1713,,,
PD202000356302,05/03/2020 02:40:57 AM,,,96,,,,15,,6400,CENTENNIAL BLVD,115C,,,,,,
PD202000356303,05/03/2020 02:41:29 AM,,,43,,PJ,,4,,,,221C,E,221N,1981,,,
PD202000356305,05/03/2020 02:42:38 AM,,,96,,,,12,,,,833C,MT,835,8653,,,
PD202000356306,05/03/2020 02:43:05 AM,,,96,,,,12,,,,831C,MT,835N,8651,,,
PD202000356307,05/03/2020 02:43:51 AM,,,43,,P,PROGRESS,4,,,,227C,E,215,1321,,,
PD202000356309,05/03/2020 02:44:35 AM,,,83,,P,PROGRESS,6,,,,334C,S,335,8927,,,
PD202000356312,05/03/2020 02:45:24 AM,,,96,,,,12,,,,336C,S,333N,8865,,,
PD202000356313,05/03/2020 02:45:33 AM,,,96,,,,12,,,,125C,W,125K,4811,,,
PD202000356314,05/03/2020 02:45:38 AM,,,43,,PM,,6,,,,314C,S,315,8801,,,
PD202000356316,05/03/2020 02:47:03 AM,20200312975,,53,,P,PROGRESS,11,,,,727C,,,,,,
PD202000356318,05/03/2020 02:47:32 AM,20200312861,,71,,A,ALARM,6A,,,,5271,,,,,,
PD202000356319,05/03/2020 02:48:58 AM,,,92,,P,PROGRESS,4T,,,,5923,S,315N,8835,,,
PD202000356321,05/03/2020 02:49:50 AM,,,3,,,,15,,,,5922,E,225,1821,,,
PD202000356322,05/03/2020 02:49:52 AM,,,96,,,,12,,,,5281,MT,811K,5521,,,
PD202000356325,05/03/2020 02:51:27 AM,,,96,,,,12,,,,713C,M,711,1517,,,
PD202000356326,05/03/2020 02:51:34 AM,,,96,,,,12,,,,511C,H,513K,9035,,,
PD202000356327,05/03/2020 02:52:15 AM,,,96,,,,12,,,,823C,MT,823N,6919,,,
PD202000356330,05/03/2020 02:52:37 AM,,,35,,P,PROGRESS,6,,3100,IRONWOOD DR,512C,,333W,0,36.155,-86.652,POINT (-86.652 36.155)
PD202000356331,05/03/2020 02:54:24 AM,,,88,,PW,,6,,900,ARBOR KNOLL BLVD,334C,,,,,,
PD202000356332,05/03/2020 02:54:47 AM,,,96,,,,4,,,,815C,MT,813N,5513,,,
PD202000356333,05/03/2020 02:54:56 AM,,,96,,,,12,,,,122C,W,123N,4701,,,
PD202000356335,05/03/2020 02:58:10 AM,,,43,,P,PROGRESS,4,,,,323C,S,331K,8719,,,
PD202000356336,05/03/2020 02:58:16 AM,,,96,,,,12,,,,821C,MT,821K,8009,,,
PD202000356337,05/03/2020 02:58:28 AM,,,96,,,,12,,,,831C,MT,831N,8661,,,
PD202000356338,05/03/2020 02:58:38 AM,,,96,,,,12,,,,125C,W,125K,4811,,,
PD202000356339,05/03/2020 03:01:00 AM,,,15,,P,PROGRESS,15,,,,4F86,C,415N,4137,,,
PD202000356340,05/03/2020 03:02:06 AM,,,43,,P,PROGRESS,4,,,,627C,N,625,,,,
PD202000356341,05/03/2020 03:03:45 AM,,,83,,P,PROGRESS,6,,400,RURAL HILL RD,314C,,325U,0,36.079,-86.63,POINT (-86.63 36.079)
PD202000356342,05/03/2020 03:04:32 AM,,,96,,,,15,,,,421C,C,421K,4105,,,
PD202000356343,05/03/2020 03:04:48 AM,,,83,,P,PROGRESS,11,,,,225C,E,211,,,,
PD202000356344,05/03/2020 03:04:54 AM,,,96,,,,12,,,,813C,PCW,,,,,
PD202000356345,05/03/2020 03:04:55 AM,,,88,,PW,,5,,700,TULIP GROVE RD,521A,H,523,9525,36.202,-86.592,POINT (-86.592 36.202)
PD202000356346,05/03/2020 03:05:16 AM,,,96,,,,12,,2100,GALLATIN PKE N,727C,M,727,1731,,,
PD202000356348,05/03/2020 03:06:35 AM,,,57,,P,PROGRESS,6,,,,333C,S,325,8721,,,
PD202000356349,05/03/2020 03:08:19 AM,,,43,,PM,,11,,500,TULIP GROVE RD,,H,523,9537,36.21,-86.59,POINT (-86.59 36.21)
PD202000356350,05/03/2020 03:08:33 AM,,,83,,P,PROGRESS,11,,,,311C,H,517,9419,,,
PD202000356352,05/03/2020 03:09:07 AM,,,96,,,,12,,,,811C,MT,815,6709,,,
PD202000356353,05/03/2020 03:10:04 AM,,,96,,,,15,,,,423C,C,421K,4105,,,
PD202000356354,05/03/2020 03:10:06 AM,,,96,,,,12,,,,813C,MT,813,5511,,,
PD202000356355,05/03/2020 03:10:56 AM,,,96,,,,12,,,,335C,S,317K,8415,,,
PD202000356356,05/03/2020 03:11:06 AM,,,93,,,,9T,,,,211C,E,211,1015,,,
PD202000356357,05/03/2020 03:11:29 AM,,,44,,P,PROGRESS,5,,2000,S HAMILTON RD,625C,,231V,0,36.193,-86.832,POINT (-86.832 36.193)
PD202000356358,05/03/2020 03:12:53 AM,20200313011,,43,,P,PROGRESS,1,,3100,IRONWOOD DR,517C,,333W,0,36.155,-86.652,POINT (-86.652 36.155)
PD202000356359,05/03/2020 03:13:33 AM,,,83,,P,PROGRESS,11,,,,,H,517,9419,,,
